,dateTime,sleepStage,sleepStageNum
0,2023-04-21 01:48:00,wake,0
1,2023-04-21 01:48:10,wake,0
2,2023-04-21 01:48:20,wake,0
3,2023-04-21 01:48:30,wake,0
4,2023-04-21 01:48:40,wake,0
5,2023-04-21 01:48:50,wake,0
6,2023-04-21 01:49:00,wake,0
7,2023-04-21 01:49:10,wake,0
8,2023-04-21 01:49:20,wake,0
9,2023-04-21 01:49:30,wake,0
10,2023-04-21 01:49:40,wake,0
11,2023-04-21 01:49:50,wake,0
12,2023-04-21 01:50:00,wake,0
13,2023-04-21 01:50:10,wake,0
14,2023-04-21 01:50:20,wake,0
15,2023-04-21 01:50:30,wake,0
16,2023-04-21 01:50:40,wake,0
17,2023-04-21 01:50:50,wake,0
18,2023-04-21 01:51:00,wake,0
19,2023-04-21 01:51:10,wake,0
20,2023-04-21 01:51:20,wake,0
21,2023-04-21 01:51:30,wake,0
22,2023-04-21 01:51:40,wake,0
23,2023-04-21 01:51:50,wake,0
24,2023-04-21 01:52:00,wake,0
25,2023-04-21 01:52:10,wake,0
26,2023-04-21 01:52:20,wake,0
27,2023-04-21 01:52:30,wake,0
28,2023-04-21 01:52:40,wake,0
29,2023-04-21 01:52:50,wake,0
30,2023-04-21 01:53:00,wake,0
31,2023-04-21 01:53:10,wake,0
32,2023-04-21 01:53:20,wake,0
33,2023-04-21 01:53:30,wake,0
34,2023-04-21 01:53:40,wake,0
35,2023-04-21 01:53:50,wake,0
36,2023-04-21 01:54:00,wake,0
37,2023-04-21 01:54:10,wake,0
38,2023-04-21 01:54:20,wake,0
39,2023-04-21 01:54:30,wake,0
40,2023-04-21 01:54:40,wake,0
41,2023-04-21 01:54:50,wake,0
42,2023-04-21 01:55:00,light,2
43,2023-04-21 01:55:10,light,2
44,2023-04-21 01:55:20,light,2
45,2023-04-21 01:55:30,light,2
46,2023-04-21 01:55:40,light,2
47,2023-04-21 01:55:50,light,2
48,2023-04-21 01:56:00,light,2
49,2023-04-21 01:56:10,light,2
50,2023-04-21 01:56:20,light,2
51,2023-04-21 01:56:30,light,2
52,2023-04-21 01:56:40,light,2
53,2023-04-21 01:56:50,light,2
54,2023-04-21 01:57:00,light,2
55,2023-04-21 01:57:10,light,2
56,2023-04-21 01:57:20,light,2
57,2023-04-21 01:57:30,light,2
58,2023-04-21 01:57:40,light,2
59,2023-04-21 01:57:50,light,2
60,2023-04-21 01:58:00,light,2
61,2023-04-21 01:58:10,light,2
62,2023-04-21 01:58:20,light,2
63,2023-04-21 01:58:30,light,2
64,2023-04-21 01:58:40,light,2
65,2023-04-21 01:58:50,light,2
66,2023-04-21 01:59:00,light,2
67,2023-04-21 01:59:10,light,2
68,2023-04-21 01:59:20,light,2
69,2023-04-21 01:59:30,light,2
70,2023-04-21 01:59:40,light,2
71,2023-04-21 01:59:50,light,2
72,2023-04-21 02:00:00,light,2
73,2023-04-21 02:00:10,light,2
74,2023-04-21 02:00:20,light,2
75,2023-04-21 02:00:30,light,2
76,2023-04-21 02:00:40,light,2
77,2023-04-21 02:00:50,light,2
78,2023-04-21 02:01:00,light,2
79,2023-04-21 02:01:10,light,2
80,2023-04-21 02:01:20,light,2
81,2023-04-21 02:01:30,light,2
82,2023-04-21 02:01:40,light,2
83,2023-04-21 02:01:50,light,2
84,2023-04-21 02:02:00,light,2
85,2023-04-21 02:02:10,light,2
86,2023-04-21 02:02:20,light,2
87,2023-04-21 02:02:30,light,2
88,2023-04-21 02:02:40,light,2
89,2023-04-21 02:02:50,light,2
90,2023-04-21 02:03:00,light,2
91,2023-04-21 02:03:10,light,2
92,2023-04-21 02:03:20,light,2
93,2023-04-21 02:03:30,light,2
94,2023-04-21 02:03:40,light,2
95,2023-04-21 02:03:50,light,2
96,2023-04-21 02:04:00,light,2
97,2023-04-21 02:04:10,light,2
98,2023-04-21 02:04:20,light,2
99,2023-04-21 02:04:30,light,2
100,2023-04-21 02:04:40,light,2
101,2023-04-21 02:04:50,light,2
102,2023-04-21 02:05:00,light,2
103,2023-04-21 02:05:10,light,2
104,2023-04-21 02:05:20,light,2
105,2023-04-21 02:05:30,light,2
106,2023-04-21 02:05:40,light,2
107,2023-04-21 02:05:50,light,2
108,2023-04-21 02:06:00,light,2
109,2023-04-21 02:06:10,light,2
110,2023-04-21 02:06:20,light,2
111,2023-04-21 02:06:30,light,2
112,2023-04-21 02:06:40,light,2
113,2023-04-21 02:06:50,light,2
114,2023-04-21 02:07:00,light,2
115,2023-04-21 02:07:10,light,2
116,2023-04-21 02:07:20,light,2
117,2023-04-21 02:07:30,light,2
118,2023-04-21 02:07:40,light,2
119,2023-04-21 02:07:50,light,2
120,2023-04-21 02:08:00,light,2
121,2023-04-21 02:08:10,light,2
122,2023-04-21 02:08:20,light,2
123,2023-04-21 02:08:30,light,2
124,2023-04-21 02:08:40,light,2
125,2023-04-21 02:08:50,light,2
126,2023-04-21 02:09:00,light,2
127,2023-04-21 02:09:10,light,2
128,2023-04-21 02:09:20,light,2
129,2023-04-21 02:09:30,light,2
130,2023-04-21 02:09:40,light,2
131,2023-04-21 02:09:50,light,2
132,2023-04-21 02:10:00,light,2
133,2023-04-21 02:10:10,light,2
134,2023-04-21 02:10:20,light,2
135,2023-04-21 02:10:30,light,2
136,2023-04-21 02:10:40,light,2
137,2023-04-21 02:10:50,light,2
138,2023-04-21 02:11:00,light,2
139,2023-04-21 02:11:10,light,2
140,2023-04-21 02:11:20,light,2
141,2023-04-21 02:11:30,light,2
142,2023-04-21 02:11:40,light,2
143,2023-04-21 02:11:50,light,2
144,2023-04-21 02:12:00,light,2
145,2023-04-21 02:12:10,light,2
146,2023-04-21 02:12:20,light,2
147,2023-04-21 02:12:30,deep,3
148,2023-04-21 02:12:40,deep,3
149,2023-04-21 02:12:50,deep,3
150,2023-04-21 02:13:00,deep,3
151,2023-04-21 02:13:10,deep,3
152,2023-04-21 02:13:20,deep,3
153,2023-04-21 02:13:30,deep,3
154,2023-04-21 02:13:40,deep,3
155,2023-04-21 02:13:50,deep,3
156,2023-04-21 02:14:00,deep,3
157,2023-04-21 02:14:10,deep,3
158,2023-04-21 02:14:20,deep,3
159,2023-04-21 02:14:30,deep,3
160,2023-04-21 02:14:40,deep,3
161,2023-04-21 02:14:50,deep,3
162,2023-04-21 02:15:00,deep,3
163,2023-04-21 02:15:10,deep,3
164,2023-04-21 02:15:20,deep,3
165,2023-04-21 02:15:30,deep,3
166,2023-04-21 02:15:40,deep,3
167,2023-04-21 02:15:50,deep,3
168,2023-04-21 02:16:00,deep,3
169,2023-04-21 02:16:10,deep,3
170,2023-04-21 02:16:20,deep,3
171,2023-04-21 02:16:30,deep,3
172,2023-04-21 02:16:40,deep,3
173,2023-04-21 02:16:50,deep,3
174,2023-04-21 02:17:00,deep,3
175,2023-04-21 02:17:10,deep,3
176,2023-04-21 02:17:20,deep,3
177,2023-04-21 02:17:30,deep,3
178,2023-04-21 02:17:40,deep,3
179,2023-04-21 02:17:50,deep,3
180,2023-04-21 02:18:00,deep,3
181,2023-04-21 02:18:10,deep,3
182,2023-04-21 02:18:20,deep,3
183,2023-04-21 02:18:30,deep,3
184,2023-04-21 02:18:40,deep,3
185,2023-04-21 02:18:50,deep,3
186,2023-04-21 02:19:00,deep,3
187,2023-04-21 02:19:10,deep,3
188,2023-04-21 02:19:20,deep,3
189,2023-04-21 02:19:30,deep,3
190,2023-04-21 02:19:40,deep,3
191,2023-04-21 02:19:50,deep,3
192,2023-04-21 02:20:00,deep,3
193,2023-04-21 02:20:10,deep,3
194,2023-04-21 02:20:20,deep,3
195,2023-04-21 02:20:30,deep,3
196,2023-04-21 02:20:40,deep,3
197,2023-04-21 02:20:50,deep,3
198,2023-04-21 02:21:00,deep,3
199,2023-04-21 02:21:10,deep,3
200,2023-04-21 02:21:20,deep,3
201,2023-04-21 02:21:30,deep,3
202,2023-04-21 02:21:40,deep,3
203,2023-04-21 02:21:50,deep,3
204,2023-04-21 02:22:00,deep,3
205,2023-04-21 02:22:10,deep,3
206,2023-04-21 02:22:20,deep,3
207,2023-04-21 02:22:30,deep,3
208,2023-04-21 02:22:40,deep,3
209,2023-04-21 02:22:50,deep,3
210,2023-04-21 02:23:00,deep,3
211,2023-04-21 02:23:10,deep,3
212,2023-04-21 02:23:20,deep,3
213,2023-04-21 02:23:30,deep,3
214,2023-04-21 02:23:40,deep,3
215,2023-04-21 02:23:50,deep,3
216,2023-04-21 02:24:00,deep,3
217,2023-04-21 02:24:10,deep,3
218,2023-04-21 02:24:20,deep,3
219,2023-04-21 02:24:30,deep,3
220,2023-04-21 02:24:40,deep,3
221,2023-04-21 02:24:50,deep,3
222,2023-04-21 02:25:00,deep,3
223,2023-04-21 02:25:10,deep,3
224,2023-04-21 02:25:20,deep,3
225,2023-04-21 02:25:30,light,2
226,2023-04-21 02:25:40,light,2
227,2023-04-21 02:25:50,light,2
228,2023-04-21 02:26:00,light,2
229,2023-04-21 02:26:10,light,2
230,2023-04-21 02:26:20,light,2
231,2023-04-21 02:26:30,light,2
232,2023-04-21 02:26:40,light,2
233,2023-04-21 02:26:50,light,2
234,2023-04-21 02:27:00,light,2
235,2023-04-21 02:27:10,light,2
236,2023-04-21 02:27:20,light,2
237,2023-04-21 02:27:30,light,2
238,2023-04-21 02:27:40,light,2
239,2023-04-21 02:27:50,light,2
240,2023-04-21 02:28:00,light,2
241,2023-04-21 02:28:10,light,2
242,2023-04-21 02:28:20,light,2
243,2023-04-21 02:28:30,light,2
244,2023-04-21 02:28:40,light,2
245,2023-04-21 02:28:50,light,2
246,2023-04-21 02:29:00,light,2
247,2023-04-21 02:29:10,light,2
248,2023-04-21 02:29:20,light,2
249,2023-04-21 02:29:30,light,2
250,2023-04-21 02:29:40,light,2
251,2023-04-21 02:29:50,light,2
252,2023-04-21 02:30:00,light,2
253,2023-04-21 02:30:10,light,2
254,2023-04-21 02:30:20,light,2
255,2023-04-21 02:30:30,light,2
256,2023-04-21 02:30:40,light,2
257,2023-04-21 02:30:50,light,2
258,2023-04-21 02:31:00,light,2
259,2023-04-21 02:31:10,light,2
260,2023-04-21 02:31:20,light,2
261,2023-04-21 02:31:30,light,2
262,2023-04-21 02:31:40,light,2
263,2023-04-21 02:31:50,light,2
264,2023-04-21 02:32:00,light,2
265,2023-04-21 02:32:10,light,2
266,2023-04-21 02:32:20,light,2
267,2023-04-21 02:32:30,light,2
268,2023-04-21 02:32:40,light,2
269,2023-04-21 02:32:50,light,2
270,2023-04-21 02:33:00,light,2
271,2023-04-21 02:33:10,light,2
272,2023-04-21 02:33:20,light,2
273,2023-04-21 02:33:30,light,2
274,2023-04-21 02:33:40,light,2
275,2023-04-21 02:33:50,light,2
276,2023-04-21 02:34:00,light,2
277,2023-04-21 02:34:10,light,2
278,2023-04-21 02:34:20,light,2
279,2023-04-21 02:34:30,light,2
280,2023-04-21 02:34:40,light,2
281,2023-04-21 02:34:50,light,2
282,2023-04-21 02:35:00,light,2
283,2023-04-21 02:35:10,light,2
284,2023-04-21 02:35:20,light,2
285,2023-04-21 02:35:30,light,2
286,2023-04-21 02:35:40,light,2
287,2023-04-21 02:35:50,light,2
288,2023-04-21 02:36:00,light,2
289,2023-04-21 02:36:10,light,2
290,2023-04-21 02:36:20,light,2
291,2023-04-21 02:36:30,light,2
292,2023-04-21 02:36:40,light,2
293,2023-04-21 02:36:50,light,2
294,2023-04-21 02:37:00,light,2
295,2023-04-21 02:37:10,light,2
296,2023-04-21 02:37:20,light,2
297,2023-04-21 02:37:30,light,2
298,2023-04-21 02:37:40,light,2
299,2023-04-21 02:37:50,light,2
300,2023-04-21 02:38:00,light,2
301,2023-04-21 02:38:10,light,2
302,2023-04-21 02:38:20,light,2
303,2023-04-21 02:38:30,light,2
304,2023-04-21 02:38:40,light,2
305,2023-04-21 02:38:50,light,2
306,2023-04-21 02:39:00,light,2
307,2023-04-21 02:39:10,light,2
308,2023-04-21 02:39:20,light,2
309,2023-04-21 02:39:30,light,2
310,2023-04-21 02:39:40,light,2
311,2023-04-21 02:39:50,light,2
312,2023-04-21 02:40:00,light,2
313,2023-04-21 02:40:10,light,2
314,2023-04-21 02:40:20,light,2
315,2023-04-21 02:40:30,light,2
316,2023-04-21 02:40:40,light,2
317,2023-04-21 02:40:50,light,2
318,2023-04-21 02:41:00,light,2
319,2023-04-21 02:41:10,light,2
320,2023-04-21 02:41:20,light,2
321,2023-04-21 02:41:30,light,2
322,2023-04-21 02:41:40,light,2
323,2023-04-21 02:41:50,light,2
324,2023-04-21 02:42:00,light,2
325,2023-04-21 02:42:10,light,2
326,2023-04-21 02:42:20,light,2
327,2023-04-21 02:42:30,light,2
328,2023-04-21 02:42:40,light,2
329,2023-04-21 02:42:50,light,2
330,2023-04-21 02:43:00,light,2
331,2023-04-21 02:43:10,light,2
332,2023-04-21 02:43:20,light,2
333,2023-04-21 02:43:30,light,2
334,2023-04-21 02:43:40,light,2
335,2023-04-21 02:43:50,light,2
336,2023-04-21 02:44:00,light,2
337,2023-04-21 02:44:10,light,2
338,2023-04-21 02:44:20,light,2
339,2023-04-21 02:44:30,light,2
340,2023-04-21 02:44:40,light,2
341,2023-04-21 02:44:50,light,2
342,2023-04-21 02:45:00,light,2
343,2023-04-21 02:45:10,light,2
344,2023-04-21 02:45:20,light,2
345,2023-04-21 02:45:30,light,2
346,2023-04-21 02:45:40,light,2
347,2023-04-21 02:45:50,light,2
348,2023-04-21 02:46:00,light,2
349,2023-04-21 02:46:10,light,2
350,2023-04-21 02:46:20,light,2
351,2023-04-21 02:46:30,light,2
352,2023-04-21 02:46:40,light,2
353,2023-04-21 02:46:50,light,2
354,2023-04-21 02:47:00,light,2
355,2023-04-21 02:47:10,light,2
356,2023-04-21 02:47:20,light,2
357,2023-04-21 02:47:30,light,2
